MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday
12.9,25.7,0,46,19,26,38,30,1007.6,1008.7,21,23.2,0
9.2,28,0,24,11,9,45,16,1017.6,1012.8,18.1,26.5,0
14.3,25,0,50,20,24,49,19,1009.6,1008.2,18.1,24.6,0
9.7,31.9,0,80,7,28,42,9,1008.9,1003.6,18.3,30.2,0
15.9,18.6,15.6,61,28,28,76,93,994.3,993,17.4,15.8,1
11.5,29.3,0,24,9,9,56,28,1019.3,1014.8,19.1,27.3,0
16.2,33.9,0,35,9,13,45,19,1010.9,1007.6,23.2,33,0
12,24.4,0.8,39,17,17,48,28,1006.1,1005.1,16.9,22.7,0
11.3,26.5,0,56,19,31,46,26,1004.5,1003.2,19.7,25.7,0
12.9,35.8,0,41,6,26,41,9,1012.6,1009.2,22.4,34.4,0
13.7,37.9,0,52,4,26,33,8,1010.9,1006.7,23.1,36.8,0
16.9,32,0,31,13,17,52,31,1009.9,1006.8,22.8,30,0
17.4,43,0,39,7,17,40,8,1011.6,1006.9,25.6,41.5,0
10.5,28.4,0,33,19,11,35,16,1019.7,1017.4,16,25.8,0
13.9,36.6,0,39,2,15,39,10,1015.8,1010.6,22,34.4,0
19.3,38.1,0.8,61,15,17,48,17,1009.6,1005.9,27.3,36.1,0
24.4,34,0.6,98,26,48,60,39,1005.3,997.8,26.1,33.1,0
18.5,38.2,0,31,9,17,48,25,1017.8,1014.1,25.8,36.2,0
20.4,40.7,0,37,7,13,45,15,1014.9,1011.6,28.2,39.2,0
22.3,42.9,0,28,9,11,37,11,1014.6,1010.2,29.2,41.2,0
21.5,37.7,0,,13,9,51,21,1009.2,1005.7,27.2,36.2,0
21.5,41.2,0,35,7,19,48,15,1005.9,1002.6,26.5,39.7,0
18.4,31.2,0.4,37,7,11,66,31,1009.3,1007.8,18.7,29.4,0
